kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_sma,koi_model_snr,koi_num_transits,koi_max_mult_ev,koi_max_sngle_ev,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_smass,koi_count,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
K08024.01,FALSE POSITIVE,0.93374911,3.504,57.8,0.66,0.0183,8.4,1439,8.053959,3.5266862,1793,2442.7,5978,4.554,0.846,0.932,1,0,0,1,1
K08025.01,FALSE POSITIVE,0.93372261,3.052,31.2,0.59,0.0186,8.2,1439,7.943396,3.6911924,1949,3430.76,5984,4.419,1.017,0.991,1,1,0,1,0
K08125.01,FALSE POSITIVE,312.61007,14.85,438.7,2.01,0.914,11.9,5,10.018782,8.6571865,258,1.05,5818,4.523,0.925,1.039,1,1,0,0,0
K08126.01,FALSE POSITIVE,429.60143,18.11,1001.4,2.74,1.0729,12.2,4,7.777109,7.190926,223,0.58,5587,4.502,0.877,0.891,1,1,0,0,0
K08127.01,FALSE POSITIVE,499.88159,13.39,184.4,2.61,1.3018,12.4,3,7.215234,6.13488,338,3.07,6486,3.992,1.812,1.174,1,1,0,0,0
K08128.01,FALSE POSITIVE,197.37704,18.71,226.2,84.37,0.9437,15.1,6,8.287655,7.068997,815,104.45,10974,4.041,2.677,2.873,1,1,0,0,0
K08129.01,FALSE POSITIVE,1.65746034,4.572,22.9,0.54,0.0273,9.1,806,7.3753715,3.7539244,1663,1808.13,5860,4.326,1.13,0.987,1,0,0,1,0
K08130.01,FALSE POSITIVE,0.566799395,1.5368,231.2,1.65,0.0139,33.7,2302,9.24758,5.586859,2448,8550.93,6322,4.426,1.075,1.124,1,0,0,1,1
K08131.01,FALSE POSITIVE,203.8406,9.33,227.4,2.41,0.6522,8.6,6,8.275805,5.9334483,385,5.21,5548,3.97,1.616,0.889,1,1,0,0,0
K08233.01,FALSE POSITIVE,14.395425,5.12,115.4,0.85,0.1102,9.4,93,7.164427,4.5280185,672,48.08,5715,4.586,0.782,0.872,1,0,0,1,0
K08234.01,FALSE POSITIVE,231.157554,8.489,845.6,37.37,1.0732,17.4,3,7.2638607,6.5805106,789,91.65,5386,2.78,11.839,3.083,1,1,0,0,0
K08235.01,FALSE POSITIVE,495.06538,21.09,417,2,1.2451,13.2,3,7.30823,6.538882,236,0.74,6075,4.486,0.969,1.048,1,1,0,0,0
K08236.01,FALSE POSITIVE,595.78152,15.97,84.9,1.18,1.3209,10.6,3,7.808413,6.94594,245,0.85,5618,4.155,1.288,0.865,1,1,0,0,0
K08237.01,FALSE POSITIVE,365.709623,13.553,1033.4,26.93,1.0423,15.1,4,7.3431087,6.1989965,604,31.42,4787,2.629,8.522,1.129,1,1,0,0,0
K08238.01,CANDIDATE,495.662346,4.428,675.7,2.73,1.1347,10.2,3,8.735098,5.451124,207,0.43,5515,4.509,0.82,0.791,1,0,0,0,0
K08239.01,FALSE POSITIVE,655.25732,20.05,268.2,1.56,1.4786,11.5,3,7.5713367,5.662341,226,0.62,6420,4.492,0.941,1.001,1,1,0,0,0
K08026.01,CANDIDATE,7.7529342,5.072,72.1,0.93,0.0742,9.2,173,7.976704,4.260575,1002,238.09,5975,4.335,1.072,0.907,1,0,0,0,0
K08027.01,FALSE POSITIVE,0.573762943,2.196,48.3,0.39,0.0112,8.5,1864,9.232281,7.4485526,1538,1331.17,4891,4.683,0.571,0.572,1,1,0,0,0
K08028.01,FALSE POSITIVE,1.072934147,4.50475,96883,81.42,0.023,949,1003,4700.6523,420.0943,2523,9590.04,7031,4.222,1.523,1.415,1,0,1,0,0
K08029.01,FALSE POSITIVE,2.61854596,4.866,19.7,1.18,0.0414,8.1,412,7.188303,2.941246,2008,3846.53,5657,3.721,2.682,1.38,1,0,0,1,1
K08030.01,FALSE POSITIVE,13.66780903,2.7993,127.7,0.91,0.1062,2.6,98,7.592254,3.6250203,705,58.32,5796,4.556,0.807,0.856,1,0,0,1,0
K08031.01,CANDIDATE,254.336707,8.585,398.4,13.97,0.9935,11.3,5,7.3345575,5.283398,586,27.88,5193,3.117,6.502,2.018,1,0,0,0,0
K08032.01,FALSE POSITIVE,1.105123883,3.001,66.7,0.83,0.021,20.7,1219,9.741476,3.358377,1755,2235.64,5883,4.476,0.959,1.005,1,1,0,0,1
K08132.01,FALSE POSITIVE,381.85852,16.121,362.9,8.3,1.0472,16,3,7.1882377,5.8421483,453,9.93,4959,3.155,4.486,1.049,1,1,0,0,0
